,TS,9999,1111,5555
2013-02-06,02/06/2013,744.7925250243868,6.266646423032188,11.688705214098023
2013-02-07,02/07/2013,900.9099569182383,6.973178988955048,12.560503527830745
2013-02-08,02/08/2013,955.1473330211204,6.605713896577344,11.915880590459485
2013-02-09,02/09/2013,876.7890990650089,6.303063917518093,11.476229465945037
2013-02-10,02/10/2013,809.7620746719854,6.0633589319536165,11.077842481865648
2013-02-11,02/11/2013,753.8624804458207,5.817491264325419,10.693156284589097
2013-02-12,02/12/2013,693.6589419648667,5.586247746445031,10.329007294914767
2013-02-13,02/13/2013,644.8514937902067,5.369977940372609,9.982655279369311
2013-02-14,02/14/2013,591.3649678161928,5.172161867367242,9.651049184339293
2013-02-15,02/15/2013,556.195174234323,4.992272810314896,9.343372570128837
2013-02-16,02/16/2013,504.37301091151653,4.808680369964312,9.042443798083411
2013-02-17,02/17/2013,458.08861862306406,4.615420003391337,8.741912974545146
2013-02-18,02/18/2013,417.534291095797,4.461534700207871,8.475730142342863
2013-02-19,02/19/2013,584.2077382682562,5.147482488310053,9.525684158025197
2013-02-20,02/20/2013,666.6377464039288,4.8713786366095055,9.13469758961197
2013-02-21,02/21/2013,592.1650696335867,4.652698037842958,8.809347540525867
2013-02-22,02/22/2013,529.8006908961429,4.46872917564716,8.52871305500669
2013-02-23,02/23/2013,471.68090806721153,4.255099147483963,8.211796003606082
2013-02-24,02/24/2013,411.393891477465,4.0700560519007665,7.92424309424419
2013-02-25,02/25/2013,364.0143662753392,3.929801630304187,7.6729623557567965
2013-02-26,02/26/2013,323.66927904259956,3.7690321385031496,7.4133364628301495
2013-02-27,02/27/2013,281.8967552384837,3.6599872289974757,7.206678187563179
2013-02-28,02/28/2013,262.7884978377514,3.5351798742172407,6.991152744018803
2013-03-01,03/01/2013,230.6482210216199,3.3815690236642677,6.727944606028146
2013-03-02,03/02/2013,197.23002205991202,3.2591920754518102,6.512921733859909
2013-03-03,03/03/2013,178.8470545633584,3.132934934176375,6.297207548384646
2013-03-04,03/04/2013,158.51527383663486,3.0250179461920643,6.099717741351848
2013-03-05,03/05/2013,491.9930719171084,11.464438961377716,14.221996790539023
2013-03-06,03/06/2013,10236.479288321316,25.936524784756962,27.247386119581858
2013-03-07,03/07/2013,3145.9716561429536,13.622531284385012,13.151420635497152
2013-03-08,03/08/2013,2355.2384629054463,11.860395617027743,12.083268674666284
2013-03-09,03/09/2013,2010.3594950842826,10.427318309548216,11.190341381161392
2013-03-10,03/10/2013,1720.402964190146,9.226218256809483,10.42014992094555
2013-03-11,03/11/2013,1478.0675552569328,8.217863814498111,9.761433343083068
2013-03-12,03/12/2013,1260.6857695806018,7.375391724430513,9.194575904410069
2013-03-13,03/13/2013,1082.2494571629204,6.669536680979377,8.695580142951128
2013-03-14,03/14/2013,928.1904146482478,6.075373587026718,8.251016930775453
2013-03-15,03/15/2013,783.0849633913028,5.572750573885182,7.853909506104401
2013-03-16,03/16/2013,676.356391557523,5.145622458087155,7.502831076062848
2013-03-17,03/17/2013,583.3275827289838,4.76619181270163,7.175757866939023
2013-03-18,03/18/2013,506.3116216479094,4.456808586461941,6.898021164090827
2013-03-19,03/19/2013,448.0454369112049,4.25905453457698,6.683955247812029
2013-03-20,03/20/2013,3214.8942179298338,11.672240478587414,9.45111871090668
2013-03-21,03/21/2013,2295.202960238659,7.106247827578585,7.707841615275332
2013-03-22,03/22/2013,1287.550174317798,6.407826402729305,7.349613977843835
2013-03-23,03/23/2013,1095.8013567102917,5.854003084859791,7.046521071339379
2013-03-24,03/24/2013,945.167543847968,5.372154204968303,6.773189673336053
2013-03-25,03/25/2013,819.3085295906697,4.966930783399469,6.533873154535476
2013-03-26,03/26/2013,711.5198566092415,4.609376911423167,6.293318052402548
2013-03-27,03/27/2013,618.49694833746,4.310757693899089,6.069638716490201
2013-03-28,03/28/2013,541.9740942850931,4.052862243448708,5.871276750146617
2013-03-29,03/29/2013,457.56874674264907,3.819354273895372,5.655318013125454
2013-03-30,03/30/2013,411.76696277907445,3.7410016536751245,5.6713051380774
2013-03-31,03/31/2013,433.4328489827026,5.929781251131584,9.119382079281127
2013-04-01,04/01/2013,480.1648471618114,5.001485819577302,7.0297229306142786
2013-04-02,04/02/2013,411.2685558032302,4.61570917811077,6.687724922181578
2013-04-03,04/03/2013,352.61401122030145,4.301468662143755,6.401927390319832
2013-04-04,04/04/2013,3754.142942843301,23.203227043651705,24.681387279327392
