,TS,9999,1111,5555
2014-06-24,06/24/2014,131.23387414569646,1.7297080000000002,1.9485540000000001
2014-06-25,06/25/2014,131.29183949907952,1.701509,1.924641
2014-06-26,06/26/2014,135.13373102044298,1.688337,1.867559
2014-06-27,06/27/2014,132.67301396534043,1.6177780000000002,1.8207400000000002
2014-06-28,06/28/2014,127.88243589201835,1.567389,1.7627009999999999
2014-06-29,06/29/2014,119.01998933117558,1.5129350000000001,1.707009
2014-06-30,06/30/2014,108.48541142975232,1.465558,1.650769
2014-07-01,07/01/2014,106.23190741121815,1.435769,1.625713
2014-07-02,07/02/2014,107.22977388114332,1.397356,1.5849090000000001
2014-07-03,07/03/2014,101.48925094628677,1.365032,1.547144
2014-07-04,07/04/2014,107.75347089411757,1.330074,1.507622
2014-07-05,07/05/2014,102.97151778904902,1.290106,1.465402
2014-07-06,07/06/2014,98.18465141988442,1.261212,1.425355
2014-07-07,07/07/2014,98.55253850287001,1.2321799999999998,1.388511
2014-07-08,07/08/2014,97.60625494636885,1.210653,1.364684
2014-07-09,07/09/2014,97.51832451370169,1.170554,1.3195540000000001
2014-07-10,07/10/2014,91.42459537802411,1.144033,1.289884
2014-07-11,07/11/2014,87.7415047975209,1.116359,1.258891
2014-07-12,07/12/2014,88.12494131157914,1.085413,1.223275
2014-07-13,07/13/2014,85.84036940742222,1.048656,1.188238
2014-07-14,07/14/2014,78.92742806832717,1.0107709999999999,1.1433229999999999
2014-07-15,07/15/2014,77.75834374406556,1.004523,1.132184
2014-07-16,07/16/2014,80.90369387070227,0.9894594000000001,1.11354
2014-07-17,07/17/2014,86.46437156808445,0.9512940999999999,1.069891
2014-07-18,07/18/2014,75.52186889545003,0.9223040000000001,1.039245
2014-07-19,07/19/2014,71.63737094239599,0.8957323,1.0086
2014-07-20,07/20/2014,70.94756021912973,0.8780631,0.9884958
2014-07-21,07/21/2014,69.69965809923278,0.865238,0.9738386999999998
2014-07-22,07/22/2014,76.49974531640733,0.8403153,0.949586
2014-07-23,07/23/2014,70.62694168369858,0.8120474,0.9222209000000001
2014-07-24,07/24/2014,63.490974586466066,0.7577435,0.8843921
2014-07-25,07/25/2014,60.142604138666975,0.7402379,0.8606280999999999
2014-07-26,07/26/2014,60.981880230285576,0.7285548000000001,0.8417931999999999
2014-07-27,07/27/2014,58.254744215645076,0.7255345999999999,0.8281951
2014-07-28,07/28/2014,54.74405090513022,0.7073176,0.8049489000000001
2014-07-29,07/29/2014,54.63270444742257,0.6903003000000001,0.7868201
2014-07-30,07/30/2014,56.94983954936273,0.6657771,0.7609389
2014-07-31,07/31/2014,54.16542533326849,0.6503,0.7448289
2014-08-01,08/01/2014,52.31832740312183,0.637601,0.72759
2014-08-02,08/02/2014,54.373094225692995,0.6213542,0.7102168000000001
2014-08-03,08/03/2014,53.061223835021785,0.6045523,0.6918684
2014-08-04,08/04/2014,49.03842598397379,0.5925606,0.6777068
2014-08-05,08/05/2014,50.2495602227384,0.584484,0.6695166
2014-08-06,08/06/2014,47.09407794509229,0.5551549,0.6407728
2014-08-07,08/07/2014,47.208884273897354,0.5368729999999999,0.6244821999999999
2014-08-08,08/08/2014,43.911497776661996,0.5146872,0.607336
2014-08-09,08/09/2014,45.04093859107122,0.5109806,0.5958531
2014-08-10,08/10/2014,39.461843748957364,0.5054968,0.582195
2014-08-11,08/11/2014,37.118489115285264,0.4950437,0.5683541999999999
2014-08-12,08/12/2014,42.761667701754405,0.4886574000000001,0.559158
2014-08-13,08/13/2014,43.952735247305014,0.4761245,0.5452735
