DTTM,TS,9999,1111,5555
2009-07-20,07/20/2009,95.63617425402681,1.0501785000000001,1.6161354
2009-07-21,07/21/2009,93.77837300175938,1.0252251,1.5756678
2009-07-22,07/22/2009,87.11286283525511,0.9993887999999999,1.5340311000000002
2009-07-23,07/23/2009,85.44069951054037,0.9716562,1.4925024
2009-07-24,07/24/2009,93.08178881893089,0.9503163,1.4547888
2009-07-25,07/25/2009,80.50157106362664,0.9245421,1.4150241000000001
2009-07-26,07/26/2009,85.13231051936413,0.8977730399999999,1.3738725
2009-07-27,07/27/2009,82.60146977118441,0.87325614,1.3365288
2009-07-28,07/28/2009,83.85836635253268,0.8550612900000001,1.3045293000000002
2009-07-29,07/29/2009,79.8682063133127,0.8355418200000001,1.2722499
2009-07-30,07/30/2009,89.22458984328148,0.81414828,1.2382380000000002
2009-07-31,07/31/2009,76.14688430933629,0.79465239,1.2075633000000001
2009-08-01,08/01/2009,69.51349512328741,0.77512356,1.1767275
2009-08-02,08/02/2009,74.1569869171189,0.7575303600000002,1.1472498
2009-08-03,08/03/2009,76.32549850867376,0.73820511,1.1170413000000001
2009-08-04,08/04/2009,75.39089534170101,0.71925237,1.0879497
2009-08-05,08/05/2009,77.46958124016946,0.6998965200000001,1.0589184
2009-08-06,08/06/2009,71.16198724488227,0.68556789,1.038393
2009-08-07,08/07/2009,70.54127174430795,0.66324042,1.0030266
2009-08-08,08/08/2009,70.27964929912415,0.6341661900000001,0.9689966999999999
2009-08-09,08/09/2009,64.7429868711339,0.6104072700000001,0.9393174000000001
2009-08-10,08/10/2009,64.01201931510052,0.58472964,0.9082296000000001
2009-08-11,08/11/2009,59.11005503258577,0.58793913,0.89282808
2009-08-12,08/12/2009,57.34759967572172,0.58058091,0.8729367299999999
2009-08-13,08/13/2009,61.293261949933274,0.5622426,0.8522995500000001
2009-08-14,08/14/2009,58.489994734199975,0.52263432,0.82471455
2009-08-15,08/15/2009,55.79584044246227,0.5110290000000001,0.8004314700000001
2009-08-16,08/16/2009,52.49620828340861,0.5039049600000001,0.7800503400000001
2009-08-17,08/17/2009,51.7178576130406,0.49838660999999995,0.76191255
2009-08-18,08/18/2009,50.584083391619615,0.48956004,0.7416854100000001
2009-08-19,08/19/2009,54.680335012944,0.47873709,0.72378045
2009-08-20,08/20/2009,50.34533799716609,0.46628505000000003,0.70669674
2009-08-21,08/21/2009,52.16386833405168,0.44891658,0.6860286900000001
2009-08-22,08/22/2009,47.22677851541539,0.43874171999999995,0.66980763
2009-08-23,08/23/2009,46.315421492654735,0.41716674,0.65346525
2009-08-24,08/24/2009,45.500002818128564,0.41083956000000005,0.63810756
2009-08-25,08/25/2009,48.090475717287696,0.4042638,0.62179326
2009-08-26,08/26/2009,48.18085401041212,0.39969189,0.60676479
2009-08-27,08/27/2009,44.4697144281259,0.38340756000000004,0.58989411
2009-08-28,08/28/2009,39.01275336219539,0.36785340000000005,0.5711603399999999
2009-08-29,08/29/2009,37.71697200468279,0.36042633,0.55801638
2009-08-30,08/30/2009,45.014643031110644,0.36037278000000006,0.5479099200000002
2009-08-31,08/31/2009,36.74613186646562,0.35578476000000003,0.53684514
2009-09-01,09/01/2009,37.60221695647977,0.34862868,0.5240376
2009-09-02,09/02/2009,39.38838093467863,0.33266943000000004,0.50813739
2009-09-03,09/03/2009,43.11350685137182,0.32535306,0.49536611999999997
2009-09-04,09/04/2009,37.618826237304106,0.32003883,0.48445731
2009-09-05,09/05/2009,37.746079595759575,0.32038101,0.47841083999999995
2009-09-06,09/06/2009,39.07099585310673,0.30966696,0.46355994000000006
2009-09-07,09/07/2009,38.10039735839639,0.29454804,0.44825202
2009-09-08,09/08/2009,35.768797557050476,0.27490617,0.43388676
2009-09-09,09/09/2009,37.21103881531677,0.27441593999999997,0.42420771
2009-09-10,09/10/2009,38.801648556723194,0.27233496000000007,0.41390325000000006
2009-09-11,09/11/2009,35.823288195984574,0.26596143,0.4037922
2009-09-12,09/12/2009,30.78447287098393,0.25896924,0.39487203000000004
2009-09-13,09/13/2009,40.21664927256055,0.31801958999999996,0.42462296999999993
2009-09-14,09/14/2009,58.22953044590472,0.27373842,0.39330243000000004
2009-09-15,09/15/2009,58.1233607827211,0.25052805,0.37533428999999996
2009-09-16,09/16/2009,42.00745704337212,0.24188463000000002,0.36434088
2009-09-17,09/17/2009,34.406180007386645,0.22865984999999997,0.35345169000000004
